Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,P&R Ball Handler,13%,10.7,10.1,0.943,8%,Poor,3.8,3.6,7.3,48.5%,55.3%,21.4%,11.5%,7.3%,"42.7%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Post-Up,9.7%,7.9,5.9,0.741,80%,Very Good,3.6,1.9,5.6,35%,35%,14%,18.9%,14.7%,"37.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Cut,6.8%,5.6,5.9,1.059,60%,Good,1.9,2.6,4.5,58%,58%,11.9%,9.9%,9.9%,"54.5%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Offensive Rebounds (put backs),6%,4.9,5.7,1.157,22%,Below Average,1.4,2,3.4,58.1%,58.9%,9%,25.8%,20.2%,"59.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Off Screen,5.7%,4.7,3.9,0.835,61%,Good,2.6,1.3,3.9,34.3%,44.3%,10.6%,8.2%,5.9%,"34.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Isolation,5.4%,4.4,2.9,0.663,81%,Very Good,1.9,0.9,2.8,33.3%,33.3%,21.3%,17.5%,10%,"35%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,P&R Roll Man,3.3%,2.7,2.1,0.755,85%,Excellent,1.2,0.9,2.1,42.1%,44.7%,14.3%,8.2%,8.2%,"38.8%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Hand Off,2.8%,2.3,1.9,0.854,39%,Average,0.9,0.7,1.6,42.9%,53.6%,24.4%,7.3%,7.3%,"36.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Miscellaneous,7.2%,5.9,2.4,0.411,68%,Very Good,0.4,0.5,0.9,56.3%,59.4%,58.9%,26.2%,0.9%,"26.2%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Offense Including Passes,Isolations Including Passes,7.6%,6.2,4.6,0.741,76%,Very Good,2.8,1.6,4.3,35.9%,40.4%,19.6%,13.4%,8%,"34.8%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Offense Including Passes,Pick and Rolls Including Passes,22.3%,18.3,17.2,0.939,18%,Below Average,7.1,6.3,13.4,46.9%,54.6%,18.5%,10%,7.6%,"42.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Offense Including Passes,Post-Ups Including Passes,12.3%,10.1,8.2,0.813,73%,Very Good,4.8,2.8,7.6,37.2%,40.1%,11.5%,15.4%,12.1%,"38.5%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,During Pass Out Situations,ISO - Defense Commits,2.2%,1.8,1.7,0.938,50%,Average,0.9,0.6,1.5,40.7%,53.7%,15.6%,3.1%,3.1%,"34.4%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,During Pass Out Situations,P&R BH - Defense Commits,11.4%,9.3,7.3,0.78,61%,Good,3.3,2.7,6.1,45%,53.7%,29.2%,7.1%,6.5%,"34.5%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,During Pass Out Situations,Post-Up - Defense Commits,2.6%,2.2,2.3,1.077,44%,Average,1.2,0.9,2.1,43.2%,54.1%,2.6%,2.6%,2.6%,"43.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,During Trapping Situations,P&R BH - Traps,0.3%,0.2,0.4,2,-,-,0,0.2,0.2,100%,133.3%,25%,0%,0%,"75%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,During Trapping Situations,Post-Up - Hard Double,1.2%,1,0.8,0.833,50%,Average,0.4,0.3,0.7,41.7%,50%,22.2%,16.7%,11.1%,"33.3%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots,51.3%,24.8,25.8,1.04,11%,Poor,15.2,9.6,24.8,38.6%,51.8%,0%,0.7%,0.7%,"38.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.8%,1.8,1.9,1.061,6%,Poor,1.1,0.7,1.8,39.4%,53%,0%,0%,0%,"39.4%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Runner,6.1%,2.9,2.2,0.755,43%,Average,1.8,1.1,2.9,37.7%,37.7%,0%,0%,0%,"37.7%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0.2,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),31.1%,15,16.5,1.1,53%,Good,6.9,8.1,15,54.1%,54.1%,0%,3.7%,3.7%,"54.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups,11.5%,5.6,4.1,0.73,94%,Excellent,3.6,1.9,5.6,35%,35%,0%,4%,4%,"35%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.2%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Catch and Shoot - Half Court,Catch and Shoot,31.4%,15.2,16.7,1.099,20%,Below Average,9.4,5.8,15.2,38.1%,54.9%,0%,0%,0%,"38.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Catch and Shoot - Half Court,Guarded,48.7%,7.4,7.4,1,37%,Average,4.8,2.6,7.4,34.6%,50%,0%,0%,0%,"34.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Catch and Shoot - Half Court,Unguarded,51.3%,7.8,9.3,1.193,24%,Below Average,4.6,3.2,7.8,41.4%,59.6%,0%,0%,0%,"41.4%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,17.3%,8.3,7.9,0.947,7%,Poor,5.1,3.3,8.3,39.3%,47%,0%,1.3%,1.3%,"39.3%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Jump Shot Range - half court,Short (<17'),18.8%,4.7,4.1,0.869,20%,Below Average,2.7,2,4.7,42.9%,42.9%,0%,1.2%,1.2%,"42.9%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),12.6%,3.1,2.1,0.661,62%,Good,2.1,1,3.1,32.1%,32.1%,0%,1.8%,1.8%,"32.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Jump Shot Range - half court,Long (3 point jump shots),68.6%,17,19.7,1.157,6%,Poor,10.4,6.6,17,38.6%,57.8%,0%,0.3%,0.3%,"38.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Overall,100%,83.4,70.5,0.846,74%,Very Good,36.3,25.7,61.9,41.5%,47.2%,15.7%,12.1%,9.1%,"39.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Transition,15.8%,13.2,11.4,0.867,89%,Excellent,5.4,4,9.4,42.4%,50%,16.6%,13.3%,11.8%,"40.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Overall Half Court,84.2%,70.2,59.1,0.841,60%,Good,30.8,21.7,52.5,41.3%,46.7%,15.6%,11.8%,8.5%,"39.1%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Short Shot Clock <4 Seconds,4.6%,3.8,2.1,0.541,84%,Excellent,2.5,0.9,3.4,25.9%,28.7%,6.6%,4.9%,4.9%,"26.2%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Out of Bounds (End),7.4%,5.2,3.5,0.675,89%,Excellent,2.5,1.3,3.8,34.4%,38.5%,18.1%,10.8%,10.8%,"31.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Out of Bounds (Side),5.6%,3.9,2.8,0.714,72%,Very Good,1.9,0.9,2.8,31.1%,35.6%,17.5%,12.7%,11.1%,"33.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,After Time Outs,11.8%,8.3,6.4,0.78,73%,Very Good,4.1,2.3,6.3,35.6%,40.6%,14.4%,11.4%,10.6%,"35.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Man Defense,96.2%,67.5,57,0.844,55%,Good,29.5,21,50.5,41.6%,46.9%,15.6%,11.9%,8.4%,"39.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Zone Defense,3.8%,2.7,2.1,0.767,87%,Excellent,1.3,0.7,2,34.4%,40.6%,16.3%,11.6%,11.6%,"34.9%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Overall Defense,Press Defense,8.9%,6.3,4.1,0.65,90%,Excellent,2.9,1.5,4.4,33.8%,37.3%,19%,10%,7%,"32%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Spot Up,19.9%,16.6,13.3,0.804,90%,Excellent,9.3,4.6,13.8,33%,42.3%,9.8%,7.9%,5.7%,"33.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Transition,15.8%,13.2,11.4,0.867,89%,Excellent,5.4,4,9.4,42.4%,50%,16.6%,13.3%,11.8%,"40.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,P&R Ball Handler,14.8%,12.4,10.9,0.884,16%,Below Average,5.7,4.3,9.9,42.8%,48.4%,15.7%,7.6%,7.6%,"38.4%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Cut,6.9%,5.8,5.8,1.011,76%,Very Good,1.9,2.3,4.1,54.5%,54.5%,13%,20.7%,19.6%,"53.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Offensive Rebounds (put backs),6.8%,5.7,6.1,1.077,42%,Average,2.1,2.4,4.5,54.2%,54.9%,5.5%,17.6%,12.1%,"54.9%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,P&R Roll Man,6.7%,5.6,4.9,0.888,64%,Good,2.7,1.9,4.6,41.1%,45.9%,9%,11.2%,10.1%,"41.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Post-Up,6.1%,5.1,4.6,0.901,29%,Below Average,2,1.8,3.8,46.7%,46.7%,12.3%,16%,12.3%,"45.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Off Screen,6%,5,5.2,1.038,16%,Below Average,2.4,1.9,4.3,44.1%,55.9%,10%,6.3%,6.3%,"42.5%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Isolation,5.5%,4.6,3,0.658,83%,Excellent,1.9,1.2,3.1,38.8%,38.8%,20.5%,15.1%,12.3%,"32.9%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Hand Off,4.1%,3.4,2.6,0.764,61%,Good,2.1,0.9,3,31.3%,37.5%,7.3%,5.5%,3.6%,"32.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Play Types,Miscellaneous,7.4%,6.2,2.6,0.414,67%,Very Good,0.9,0.6,1.5,37.5%,39.6%,56.6%,20.2%,2%,"25.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Offense Including Passes,Isolations Including Passes,7%,5.9,4.3,0.723,80%,Very Good,2.5,1.6,4.1,39.4%,42.4%,19.1%,12.8%,10.6%,"34%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Offense Including Passes,Pick and Rolls Including Passes,27.7%,23.1,20.2,0.875,39%,Average,10.8,7.7,18.5,41.6%,47.5%,13.8%,8.7%,7.9%,"38.8%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Offense Including Passes,Post-Ups Including Passes,7.6%,6.3,5.8,0.911,39%,Average,2.6,2.2,4.8,46.1%,48%,12.9%,14.9%,11.9%,"44.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,During Pass Out Situations,ISO - Defense Commits,1.6%,1.3,1.3,0.952,47%,Average,0.6,0.4,1.1,41.2%,52.9%,14.3%,4.8%,4.8%,"38.1%
"
Milwaukee School of Engineering,2019-1-15,Defensive,During Pass Out Situations,P&R BH - Defense Commits,14.5%,12.1,9.3,0.767,64%,Good,5.1,3.4,8.6,40.1%,46.4%,21.8%,8.8%,7.3%,"34.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,During Pass Out Situations,Post-Up - Defense Commits,1.5%,1.3,1.2,0.95,61%,Good,0.6,0.4,1,43.8%,53.1%,15%,10%,10%,"40%
"
Milwaukee School of Engineering,2019-1-15,Defensive,During Trapping Situations,P&R BH - Traps,0.3%,0.3,0.3,1,-,-,0.1,0.1,0.1,50%,50%,25%,25%,25%,"50%
"
Milwaukee School of Engineering,2019-1-15,Defensive,During Trapping Situations,Post-Up - Hard Double,1.2%,1,0.9,0.938,34%,Average,0.3,0.4,0.8,58.3%,62.5%,25%,0%,0%,"43.8%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots,52.5%,27.6,24.3,0.88,79%,Very Good,18.3,9.3,27.6,33.8%,44%,0%,0%,0%,"33.8%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,4.4%,2.3,0.8,0.351,89%,Excellent,2,0.3,2.3,13.5%,17.6%,0%,0%,0%,"13.5%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Runner,5.8%,3.1,2.3,0.735,46%,Average,1.9,1.1,3.1,36.7%,36.7%,0%,0%,0%,"36.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.1%,0.1,0.1,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),34.5%,18.1,20.2,1.114,49%,Average,8.6,9.5,18.1,52.4%,52.4%,0%,7.9%,7.9%,"52.4%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups,7.1%,3.8,3.6,0.967,53%,Good,2,1.8,3.8,46.7%,46.7%,0%,3.3%,3.3%,"46.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.2%,0.1,0.1,1,-,-,0.1,0.1,0.1,50%,50%,0%,0%,0%,"50%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Milwaukee School of Engineering,2019-1-15,Defensive,Catch and Shoot - Half Court,Catch and Shoot,28%,14.7,14.7,1,60%,Good,9.5,5.2,14.7,35.3%,50%,0%,0%,0%,"35.3%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Catch and Shoot - Half Court,Guarded,44.3%,6.5,6.3,0.962,50%,Average,4.3,2.2,6.5,33.7%,48.1%,0%,0%,0%,"33.7%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Catch and Shoot - Half Court,Unguarded,55.7%,8.2,8.4,1.031,70%,Very Good,5.2,3,8.2,36.6%,51.5%,0%,0%,0%,"36.6%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,21.7%,11.4,8.4,0.742,63%,Good,7.8,3.6,11.4,31.9%,37.1%,0%,0%,0%,"31.9%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Jump Shot Range - half court,Short (<17'),20.9%,5.8,4.4,0.761,46%,Average,3.6,2.2,5.8,38%,38%,0%,0%,0%,"38%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),19.3%,5.3,3,0.565,82%,Very Good,3.8,1.5,5.3,28.2%,28.2%,0%,0%,0%,"28.2%
"
Milwaukee School of Engineering,2019-1-15,Defensive,Jump Shot Range - half court,Long (3 point jump shots),59.9%,16.5,16.9,1.023,47%,Average,10.9,5.6,16.5,34.1%,51.1%,0%,0%,0%,"34.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Overall,100%,75.8,62.1,0.819,85%,Excellent,33.8,22.8,56.6,40.3%,45.6%,15.3%,11.5%,7.8%,"38.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Transition,16.9%,12.8,12.4,0.97,52%,Good,4.5,4.5,9,50%,57.1%,17.8%,13%,10.4%,"45.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Overall Half Court,83.1%,63,49.7,0.788,87%,Excellent,29.3,18.3,47.6,38.5%,43.4%,14.8%,11.2%,7.3%,"36.9%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Short Shot Clock <4 Seconds,3.8%,2.9,1.1,0.365,99%,Excellent,2.1,0.4,2.5,15.6%,18.9%,9.6%,3.8%,0%,"17.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Out of Bounds (End),9.3%,5.8,4.9,0.848,44%,Average,2.7,1.7,4.4,38.8%,43.1%,12.4%,13.3%,9.5%,"40%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Out of Bounds (Side),4.9%,3.1,2.3,0.75,62%,Good,1.6,0.9,2.5,37.8%,41.1%,7.1%,12.5%,3.6%,"35.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,After Time Outs,12.5%,7.9,6.7,0.845,50%,Average,3.2,2.6,5.8,44.8%,49.5%,14.8%,13.4%,7.7%,"40.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Man Defense,99.7%,62.8,49.6,0.789,85%,Excellent,29.2,18.3,47.5,38.5%,43.4%,14.8%,11.2%,7.3%,"36.9%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Zone Defense,0.3%,0.2,0.1,0.667,-,-,0.1,0.1,0.1,50%,50%,33.3%,0%,0%,"33.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Overall Defense,Press Defense,1.5%,0.9,0.7,0.706,83%,Excellent,0.5,0.1,0.6,10%,15%,5.9%,35.3%,5.9%,"41.2%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Spot Up,21.6%,16.3,12.8,0.786,94%,Excellent,9.4,4.6,14,32.9%,42.7%,9.5%,5.1%,3.4%,"32%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Transition,16.9%,12.8,12.4,0.97,52%,Good,4.5,4.5,9,50%,57.1%,17.8%,13%,10.4%,"45.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,P&R Ball Handler,10.4%,7.9,5.2,0.662,77%,Very Good,3.9,1.8,5.7,32%,35%,16.9%,12.7%,9.2%,"32.4%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Cut,10.2%,7.7,8.4,1.086,51%,Good,2.6,3.5,6.1,57.3%,57.3%,7.9%,15.8%,12.9%,"56.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Post-Up,8.9%,6.8,5.6,0.82,56%,Good,3,2.3,5.3,43.2%,43.2%,14.8%,9%,5.7%,"41%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Off Screen,7.6%,5.7,4.4,0.777,73%,Very Good,3.6,1.6,5.2,30.9%,39.4%,2.9%,5.8%,5.8%,"31.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Isolation,5.9%,4.4,3.5,0.788,48%,Average,2.3,1.2,3.4,33.9%,37.1%,11.3%,13.8%,12.5%,"37.5%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Offensive Rebounds (put backs),4.4%,3.3,3.3,0.983,69%,Very Good,1.2,1.4,2.6,54.3%,54.3%,8.3%,18.3%,16.7%,"51.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Hand Off,3.4%,2.6,2.4,0.935,21%,Below Average,1.3,0.9,2.2,41%,44.9%,8.7%,13%,10.9%,"41.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,P&R Roll Man,3%,2.3,1.6,0.683,91%,Excellent,1.2,0.7,1.8,36.4%,42.4%,17.1%,2.4%,2.4%,"29.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Play Types,Miscellaneous,7.8%,5.9,2.5,0.421,65%,Very Good,0.9,0.4,1.3,30.4%,34.8%,55.1%,24.3%,2.8%,"24.3%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Offense Including Passes,Isolations Including Passes,8.3%,6.3,5,0.796,59%,Good,3.4,1.8,5.2,35.1%,37.8%,8%,11.5%,10.6%,"38.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Offense Including Passes,Pick and Rolls Including Passes,17.9%,13.6,9.4,0.697,94%,Excellent,6.9,3.6,10.5,33.9%,38.4%,15.2%,9%,6.6%,"32.4%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Offense Including Passes,Post-Ups Including Passes,11.9%,9,7.9,0.877,52%,Good,4,3.2,7.2,44.2%,46.9%,13.6%,8.6%,6.2%,"42%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,During Pass Out Situations,ISO - Defense Commits,2.4%,1.8,1.5,0.818,68%,Very Good,1.1,0.7,1.8,37.5%,39.1%,0%,6.1%,6.1%,"39.4%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,During Pass Out Situations,P&R BH - Defense Commits,8.6%,6.5,4.3,0.658,89%,Excellent,3.1,1.7,4.8,36%,42.4%,23.1%,4.3%,2.6%,"29.1%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,During Pass Out Situations,Post-Up - Defense Commits,2.9%,2.2,2.3,1.05,48%,Average,1,0.9,1.9,47.1%,57.4%,10%,7.5%,7.5%,"45%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,During Trapping Situations,P&R BH - Traps,0.2%,0.2,0,0,-,-,0.1,0,0.1,0%,0%,33.3%,0%,0%,"0%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,During Trapping Situations,Post-Up - Hard Double,1.6%,1.2,0.5,0.409,94%,Excellent,0.7,0.2,0.9,18.8%,18.8%,18.2%,9.1%,9.1%,"22.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots,49.1%,23.4,18.8,0.805,94%,Excellent,16.3,7.1,23.4,30.2%,40.1%,0%,0.2%,0.2%,"30.2%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.4%,1.6,0.7,0.448,80%,Very Good,1.3,0.3,1.6,17.2%,22.4%,0%,0%,0%,"17.2%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Runner,5.7%,2.7,1.6,0.592,81%,Very Good,1.9,0.8,2.7,28.6%,28.6%,0%,2%,2%,"28.6%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.4%,0.2,0,0,-,-,0.2,0,0.2,0%,0%,0%,0%,0%,"0%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),34.1%,16.2,16.9,1.045,78%,Very Good,8,8.2,16.2,50.7%,50.7%,0%,4.8%,4.8%,"50.7%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups,11.1%,5.3,4.7,0.884,75%,Very Good,3,2.3,5.3,43.2%,43.2%,0%,2.1%,2.1%,"43.2%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.4%,0.2,0,0,-,-,0.2,0,0.2,0%,0%,0%,0%,0%,"0%
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Illinois Tech Scarlet Hawks,2019-1-15,Defensive,Catch and Shoot - Half Court,Catch and Shoot,28.2%,13.4,11.6,0.864,94%,Excellent,9.5,3.9,13.4,29.3%,43.2%,0%,0%,0%,"29.3%
"
