Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Player_ID,Category_ID,Format_ID,Element_ID
12/23/2018,0.02,1.6,2.4,1.462,0.01,Poor,0.6,1,1.6,0.615,0.731,0,0,0,0.61,31,2,2,1
12/23/2018,0.03,3.3,2,0.6,0.9,Excellent,1.7,0.7,2.3,0.286,0.321,0.2,0.1,0.05,0.3,23,2,2,1
12/23/2018,0.011,1.4,2.8,2,-,-,0.2,1,1.2,0.833,1.083,0.143,0.143,0.143,0.71,30,2,2,1
12/23/2018,0.005,0.4,0.3,0.667,-,-,0.3,0.1,0.4,0.333,0.333,0,0,0,0.33,35,2,2,1
12/23/2018,0.087,8,6.5,0.807,0.59,Good,4.6,2.4,7,0.338,0.442,0.102,0.023,0.023,0.32,17,2,2,1
12/23/2018,0.085,7.8,7.7,0.988,0.26,Below Average,3.3,2.8,6.1,0.463,0.575,0.14,0.105,0.105,0.41,4,2,2,1
12/23/2018,0.062,5.7,5.5,0.952,0.32,Average,2.9,1.8,4.7,0.385,0.49,0.095,0.095,0.095,0.38,1,2,2,1
12/23/2018,0.056,5.7,4,0.702,0.78,Very Good,3.1,1.3,4.4,0.295,0.341,0.105,0.14,0.14,0.33,18,2,2,1
12/23/2018,0.048,4.5,4.3,0.959,0.3,Below Average,1.7,1.5,3.2,0.457,0.529,0.163,0.163,0.143,0.43,12,2,2,1
12/23/2018,0.065,6,5.5,0.909,0.39,Average,2.9,2.1,5,0.418,0.5,0.121,0.091,0.076,0.38,15,2,2,1
12/23/2018,0.057,5.8,5.1,0.879,0.45,Average,3,2,5,0.4,0.49,0.086,0.052,0.017,0.38,5,2,2,1
12/23/2018,0.05,4.6,5.2,1.118,0.12,Poor,2.2,1.6,3.8,0.429,0.56,0.059,0.137,0.078,0.45,2,2,2,1
12/23/2018,0.012,2,2.3,1.167,0.09,Poor,1.2,0.8,2,0.417,0.542,0,0.083,0.083,0.42,11,2,2,1
12/23/2018,0.009,1.3,0.9,0.667,-,-,0.7,0,0.7,0,0,0.111,0.333,0.111,0.33,8,2,2,1
12/23/2018,0.001,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0,14,2,2,1
12/23/2018,0.003,0.8,0.5,0.667,-,-,0.3,0.3,0.5,0.5,0.5,0.333,0,0,0.33,9,2,2,1
12/23/2018,0.001,0.5,1,2,-,-,0,0,0,-,-,0,1,0,1,6,2,2,1
12/23/2018,0.002,0.5,0.5,1,-,-,0.3,0.3,0.5,0.5,0.5,0,0,0,0.5,16,2,2,1
12/23/2018,0.004,1.3,1.7,1.25,-,-,0.3,0.7,1,0.667,0.667,0,0.25,0.25,0.75,10,2,2,1
12/23/2018,0.001,0.2,0.4,2,-,-,0,0,0,-,-,0,1,0,1,20,2,2,1
12/23/2018,0.056,4.9,4.8,0.98,0.27,Below Average,2.1,1.8,3.9,0.462,0.526,0.102,0.102,0.102,0.47,148,2,2,1
12/23/2018,0.09,7.8,8.1,1.038,0.19,Below Average,3.8,3.1,6.9,0.449,0.543,0.077,0.051,0.038,0.44,145,2,2,1
12/23/2018,0.09,7.8,7.2,0.923,0.36,Average,3.7,2.8,6.5,0.431,0.523,0.141,0.038,0.038,0.39,152,2,2,1
12/23/2018,0.061,5.3,4.8,0.906,0.4,Average,2.7,1.9,4.6,0.413,0.5,0.113,0.019,0.019,0.38,146,2,2,1
12/23/2018,0.086,7.5,6.8,0.907,0.4,Average,3.4,2.5,5.9,0.424,0.5,0.16,0.067,0.053,0.39,149,2,2,1
12/23/2018,0.044,4.2,3.8,0.895,0.42,Average,2,1.4,3.4,0.419,0.484,0.105,0.079,0.079,0.42,156,2,2,1
12/23/2018,0.044,3.8,3.8,1,0.23,Below Average,1.9,1.3,3.2,0.406,0.531,0.105,0.053,0.026,0.4,153,2,2,1
12/23/2018,0.017,2.1,2.7,1.267,0.04,Poor,0.7,1.1,1.9,0.615,0.731,0.133,0,0,0.53,154,2,2,1
12/23/2018,0.023,6.7,5.3,0.8,0.61,Good,3.3,1.7,5,0.333,0.4,0.15,0.15,0.15,0.35,144,2,2,1
12/23/2018,0.022,1.9,0.9,0.474,0.97,Excellent,0.9,0.2,1.1,0.182,0.227,0.263,0.158,0,0.21,155,2,2,1
12/23/2018,0.011,2,2.6,1.3,0.03,Poor,0.6,0.6,1.2,0.5,0.75,0.2,0.2,0.2,0.5,143,2,2,1
12/23/2018,0.007,1,1.5,1.5,-,-,0.2,0.7,0.8,0.8,0.9,0.167,0,0,0.67,151,2,2,1
12/23/2018,0.001,0.3,0.3,1,-,-,0,0,0,-,-,0,1,0,1,157,2,2,1
12/23/2018,0.01,1.5,2.2,1.444,-,-,0.7,0.8,1.5,0.556,0.722,0,0,0,0.56,147,2,2,1
12/23/2018,0.001,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0,150,2,2,1
12/23/2018,0.113,8.9,8.5,0.949,0.32,Average,4.6,3.2,7.8,0.407,0.494,0.082,0.051,0.031,0.4,108,2,2,1
12/23/2018,0.092,7.3,5.7,0.788,0.63,Good,3.9,2,5.9,0.338,0.4,0.125,0.088,0.063,0.34,112,2,2,1
12/23/2018,0.09,7.1,6.1,0.859,0.49,Average,3.4,2.4,5.7,0.413,0.484,0.141,0.064,0.051,0.37,121,2,2,1
12/23/2018,0.088,6.9,6.1,0.882,0.44,Average,3.2,2.7,5.9,0.462,0.508,0.132,0.013,0.013,0.41,118,2,2,1
12/23/2018,0.067,5.8,7.3,1.259,0.05,Poor,2.6,2.5,5.1,0.49,0.598,0.034,0.138,0.103,0.52,107,2,2,1
12/23/2018,0.05,3.9,3.2,0.814,0.57,Good,1.5,1,2.5,0.393,0.482,0.186,0.163,0.047,0.35,114,2,2,1
