Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Isolation,0.05,4,3.1,0.76,0.46,Average,2,0.9,2.9,0.31,0.34,0.13,0.19,0.11,0.36
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,P&R Roll Man,0.04,3,3.5,1.17,0.83,Excellent,1.1,1.5,2.6,0.57,0.62,0.1,0.13,0.13,0.52
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Hand Off,0.03,2,1.2,0.58,0.11,Poor,1.1,0.4,1.5,0.24,0.29,0.2,0.08,0.08,0.25
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Miscellaneous,0.1,7.9,3.7,0.47,0.53,Good,0.4,0.5,0.9,0.53,0.56,0.65,0.26,0.04,0.27
Benedictine (IL) Eagles,2019-01-26,Offensive,Offense Including Passes,Isolations Including Passes,0.06,4.8,4,0.83,0.55,Good,2.4,1.3,3.6,0.35,0.4,0.13,0.16,0.09,0.38
Benedictine (IL) Eagles,2019-01-26,Offensive,Offense Including Passes,Pick and Rolls Including Passes,0.22,17.6,14.3,0.81,0.45,Average,8.3,5.7,14,0.41,0.46,0.16,0.07,0.07,0.36
Benedictine (IL) Eagles,2019-01-26,Offensive,Offense Including Passes,Post-Ups Including Passes,0.13,10.4,10,0.97,0.8,Very Good,4,4.1,8.1,0.51,0.54,0.13,0.12,0.08,0.47
Benedictine (IL) Eagles,2019-01-26,Offensive,During Pass Out Situations,ISO - Defense Commits,0.01,0.8,1,1.19,0.82,Very Good,0.4,0.4,0.7,0.5,0.68,0.13,0,0,0.44
Benedictine (IL) Eagles,2019-01-26,Offensive,During Pass Out Situations,P&R BH - Defense Commits,0.13,10.4,8.4,0.81,0.54,Good,4.2,3.4,7.6,0.44,0.52,0.24,0.07,0.06,0.34
Benedictine (IL) Eagles,2019-01-26,Offensive,During Pass Out Situations,Post-Up - Defense Commits,0.03,2.7,2.7,1.02,0.49,Average,1.5,1.1,2.5,0.42,0.53,0.06,0.02,0.02,0.4
Benedictine (IL) Eagles,2019-01-26,Offensive,During Trapping Situations,P&R BH - Traps,0,0.3,0.5,1.8,-,-,0,0.2,0.2,1,1.33,0.4,0.2,0.2,0.6
Benedictine (IL) Eagles,2019-01-26,Offensive,During Trapping Situations,Post-Up - Hard Double,0.03,2.5,2,0.8,0.48,Average,1.1,0.8,1.8,0.42,0.49,0.22,0.06,0.06,0.35
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Jump Shots,0.52,26.5,23,0.87,0.27,Below Average,18,8.5,26.5,0.32,0.43,0,0.01,0.01,0.32
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,0.04,1.8,0.8,0.43,0.19,Below Average,1.5,0.3,1.8,0.17,0.21,0,0,0,0.17
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Runner,0.05,2.5,2.2,0.88,0.81,Very Good,1.5,1.1,2.5,0.42,0.42,0,0.04,0.04,0.42
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0,0.1,0.1,1,-,-,0.1,0.1,0.1,0.5,0.5,0,0,0,0.5
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),0.32,16,19.5,1.22,0.88,Excellent,6.8,9.2,16,0.58,0.58,0,0.09,0.09,0.58
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Post-Ups,0.11,5.6,6.3,1.13,0.89,Excellent,2.6,3.1,5.6,0.55,0.55,0,0.05,0.05,0.55
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0,0.2,0.3,1.25,-,-,0.1,0.1,0.2,0.5,0.5,0,0.25,0.25,0.5
Benedictine (IL) Eagles,2019-01-26,Offensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benedictine (IL) Eagles,2019-01-26,Offensive,Catch and Shoot - Half Court,Catch and Shoot,0.33,16.7,16.4,0.98,0.39,Average,11.2,5.5,16.7,0.33,0.49,0,0.01,0.01,0.33
Benedictine (IL) Eagles,2019-01-26,Offensive,Catch and Shoot - Half Court,Guarded,0.56,9.3,8.2,0.88,0.3,Below Average,6.6,2.8,9.3,0.3,0.44,0,0.01,0.01,0.3
Benedictine (IL) Eagles,2019-01-26,Offensive,Catch and Shoot - Half Court,Unguarded,0.44,7.4,8.2,1.1,0.52,Good,4.7,2.8,7.4,0.37,0.55,0,0,0,0.37
Benedictine (IL) Eagles,2019-01-26,Offensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,0.16,8,5.5,0.68,0.22,Below Average,5.5,2.6,8,0.32,0.34,0,0.01,0.01,0.32
Benedictine (IL) Eagles,2019-01-26,Offensive,Jump Shot Range - half court,Short (<17'),0.17,4.5,3.2,0.71,0.4,Average,2.9,1.6,4.5,0.35,0.35,0,0.02,0.02,0.35
Benedictine (IL) Eagles,2019-01-26,Offensive,Jump Shot Range - half court,Medium (17' to <3 point line),0.1,2.8,2.1,0.76,0.68,Very Good,1.7,1.1,2.8,0.38,0.38,0,0,0,0.38
Benedictine (IL) Eagles,2019-01-26,Offensive,Jump Shot Range - half court,Long (3 point jump shots),0.73,19.3,17.8,0.92,0.23,Below Average,13.4,5.9,19.3,0.31,0.46,0,0.01,0.01,0.31
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Overall,1,84.7,80.1,0.95,0.12,Poor,32.9,29.6,62.5,0.47,0.54,0.17,0.12,0.08,0.43
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Transition,0.16,13.2,16.4,1.24,0,Poor,3.8,6.7,10.5,0.64,0.71,0.13,0.11,0.08,0.56
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Overall Half Court,0.84,71.5,63.7,0.89,0.29,Below Average,29.1,22.9,52,0.44,0.51,0.18,0.12,0.08,0.4
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Short Shot Clock <4 Seconds,0.04,3.2,2.6,0.81,0.23,Below Average,1.7,1,2.7,0.36,0.43,0.1,0.08,0.03,0.37
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Out of Bounds (End),0.09,6.5,4.3,0.67,0.92,Excellent,3.3,1.4,4.6,0.29,0.37,0.19,0.12,0.09,0.29
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Out of Bounds (Side),0.04,2.6,2.5,0.96,0.17,Below Average,1.1,1,2,0.48,0.56,0.14,0.1,0.06,0.41
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,After Time Outs,0.13,9.2,7.3,0.79,0.72,Very Good,3.9,3,6.9,0.44,0.49,0.2,0.06,0.03,0.35
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Man Defense,0.93,66.7,59,0.88,0.31,Average,26.9,21.2,48.1,0.44,0.51,0.18,0.12,0.08,0.4
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Zone Defense,0.07,4.8,4.8,0.99,0.27,Below Average,2.2,1.7,3.9,0.44,0.55,0.13,0.09,0.05,0.41
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Overall Defense,Press Defense,0.03,1.8,1.6,0.89,0.35,Average,0.6,0.5,1,0.45,0.53,0.19,0.25,0.03,0.42
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Spot Up,0.27,22.9,21.7,0.95,0.31,Average,12.3,7.6,19.9,0.38,0.51,0.09,0.06,0.04,0.37
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Transition,0.16,13.2,16.4,1.24,0,Poor,3.8,6.7,10.5,0.64,0.71,0.13,0.11,0.08,0.56
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,P&R Ball Handler,0.09,7.7,6.6,0.86,0.2,Below Average,2.6,2.3,4.9,0.47,0.51,0.24,0.16,0.11,0.41
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Cut,0.08,6.8,7.2,1.06,0.6,Good,2.2,3.1,5.3,0.59,0.59,0.13,0.13,0.11,0.54
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Off Screen,0.08,6.7,6.5,0.96,0.31,Average,3.4,2.5,5.8,0.42,0.53,0.1,0.06,0.04,0.4
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Post-Up,0.07,5.9,5.1,0.86,0.44,Average,2,2.1,4,0.51,0.51,0.2,0.15,0.11,0.43
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Offensive Rebounds (put backs),0.06,4.7,5.4,1.14,0.26,Below Average,1.6,2.1,3.7,0.57,0.57,0.06,0.2,0.15,0.55
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Isolation,0.05,4.4,3.5,0.78,0.52,Good,2,1.2,3.2,0.38,0.41,0.17,0.16,0.13,0.38
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,P&R Roll Man,0.03,2.8,3.1,1.11,0.25,Below Average,1.1,1.2,2.3,0.51,0.53,0.07,0.16,0.13,0.53
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Hand Off,0.03,2.2,1.2,0.56,0.94,Excellent,1.3,0.5,1.8,0.26,0.33,0.16,0.02,0.02,0.23
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Play Types,Miscellaneous,0.09,7.5,3.7,0.49,0.39,Average,0.8,0.5,1.3,0.4,0.42,0.59,0.25,0.03,0.26
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Offense Including Passes,Isolations Including Passes,0.07,6.3,5.3,0.84,0.46,Average,2.9,1.9,4.8,0.4,0.44,0.15,0.13,0.1,0.38
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Offense Including Passes,Pick and Rolls Including Passes,0.19,16.2,14.4,0.89,0.33,Average,6.9,5.2,12,0.43,0.49,0.17,0.12,0.09,0.4
Wisconsin Lutheran Warriors,2019-01-26,Defensive,Offense Including Passes,Post-Ups Including Passes,0.09,7.9,7.4,0.94,0.31,Average,2.9,2.9,5.8,0.5,0.54,0.17,0.12,0.09,0.44
Wisconsin Lutheran Warriors,2019-01-26,Defensive,During Pass Out Situations,ISO - Defense Commits,0.02,1.9,1.8,0.97,0.45,Average,0.9,0.7,1.6,0.44,0.52,0.11,0.05,0.05,0.41
