Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Spot Up,8.8%,1.4,1.8,1.316,89%,Excellent,0.5,0.7,1.2,58.8%,67.6%,5.3%,5.3%,5.3%,"57.9%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Spot Up,6.9%,1.7,2.7,1.6,99%,Excellent,0.4,1,1.4,69.2%,92.3%,13.3%,0%,0%,"60%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,Spot Up,6%,1.3,2.2,1.692,99%,Excellent,0.3,0.9,1.2,75%,83.3%,7.7%,15.4%,15.4%,"69.2%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Spot Up,6%,1.2,1.2,1,54%,Good,0.2,0.3,0.5,60%,60%,30.8%,30.8%,30.8%,"53.8%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Spot Up,5.1%,1,1.1,1.091,67%,Very Good,0.4,0.5,0.8,55.6%,66.7%,18.2%,0%,0%,"45.5%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Spot Up,5.1%,1.1,1,0.909,41%,Average,0.4,0.3,0.7,42.9%,42.9%,9.1%,36.4%,27.3%,"45.5%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Spot Up,3.2%,1,1.6,1.571,-,-,0.3,0.6,0.9,66.7%,91.7%,14.3%,0%,0%,"57.1%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Spot Up,2.8%,0.9,0.9,1,-,-,0.4,0.4,0.9,50%,50%,0%,16.7%,16.7%,"50%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Spot Up,1.9%,1.3,2.7,2,-,-,0,0.7,0.7,100%,150%,0%,50%,50%,"100%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,Spot Up,1.9%,0.3,0.3,1,-,-,0.1,0.1,0.2,66.7%,66.7%,25%,0%,0%,"50%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,Isolation,27.3%,3,2.5,0.833,59%,Good,1.5,1,2.5,40%,42%,6.7%,13.3%,13.3%,"40%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Isolation,19.1%,1.5,1.4,0.905,66%,Very Good,0.6,0.4,1,42.9%,42.9%,9.5%,23.8%,19%,"47.6%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Isolation,13.6%,1.1,0.9,0.867,63%,Good,0.4,0.3,0.7,40%,40%,13.3%,20%,20%,"46.7%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Isolation,9.1%,0.7,0.6,0.9,66%,Very Good,0.2,0.2,0.4,50%,50%,20%,20%,10%,"50%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Isolation,5.5%,0.6,0.2,0.333,-,-,0.4,0.1,0.5,20%,20%,0%,16.7%,16.7%,"16.7%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Isolation,4.5%,0.7,0.7,1,-,-,0.1,0.3,0.4,66.7%,66.7%,40%,20%,20%,"40%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Isolation,3.6%,1.3,0,0,-,-,1,0,1,0%,0%,25%,0%,0%,"0%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Isolation,3.6%,0.3,0.1,0.5,-,-,0.1,0.1,0.2,33.3%,33.3%,25%,0%,0%,"25%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Isolation,3.6%,0.4,0.5,1.25,-,-,0,0.2,0.2,100%,100%,50%,25%,25%,"50%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,Isolation,2.7%,0.2,0,0,-,-,0.1,0,0.1,0%,0%,0%,33.3%,33.3%,"0%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Isolation,2.7%,0.3,0.4,1.333,-,-,0.1,0.2,0.3,66.7%,66.7%,0%,0%,0%,"66.7%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Isolation,1.8%,0.3,0,0,-,-,0.1,0,0.1,0%,0%,50%,0%,0%,"0%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Isolation,1.8%,0.2,0.2,1,-,-,0.1,0.1,0.2,50%,50%,0%,0%,0%,"50%
"
Aurora University,Ethan Conroy,2019-1-9,Play Types,Offensive,Isolation,0.9%,0.1,0.2,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,P&R Ball Handler,41.7%,4.3,3.3,0.767,50%,Average,2.4,1.4,3.8,36.8%,40.8%,9.3%,7%,7%,"32.6%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,P&R Ball Handler,25.2%,1.9,1.6,0.885,69%,Very Good,0.4,0.5,0.9,53.8%,57.7%,34.6%,15.4%,15.4%,"42.3%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,P&R Ball Handler,11.7%,1.2,0.6,0.5,15%,Below Average,0.8,0.3,1.1,27.3%,27.3%,8.3%,0%,0%,"25%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,P&R Ball Handler,8.7%,1.3,1,0.778,-,-,0.7,0.3,1,28.6%,28.6%,0%,22.2%,22.2%,"44.4%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,P&R Ball Handler,6.8%,1,1.1,1.143,-,-,0.1,0.3,0.4,66.7%,100%,42.9%,14.3%,0%,"42.9%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,P&R Ball Handler,2.9%,0.3,0.4,1.333,-,-,0.1,0.2,0.3,66.7%,66.7%,0%,0%,0%,"66.7%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,P&R Ball Handler,1.9%,0.1,0.1,0.5,-,-,0.1,0,0.1,0%,0%,0%,50%,50%,"50%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,P&R Ball Handler,1%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,P&R Ball Handler,29.7%,1.6,2.2,1.409,87%,Excellent,0.2,1,1.2,82.4%,82.4%,9.1%,13.6%,13.6%,"77.3%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,P&R Ball Handler,27%,1.8,2.5,1.35,81%,Very Good,0.3,0.9,1.2,76.9%,76.9%,5%,40%,40%,"75%
"
