GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
16,21.8,1.07,0.25,11.4,1.1,1.2,0.85,0.6,0.5,0.4,3.2,0.5,2.8,7.9,4,3.9,0.51,0.65,3.2,1.8,1.4,0.56,4.6,2.2,2.4,0.47,1.7,1.2,0.4,0.74,0.2,1.2,2.6,2019-01-30,208,9
17,12.6,0.49,0.19,3.2,0.4,0.9,0.4,0.3,0.3,0,2.2,0.7,1.5,3.7,1.4,2.4,0.37,0.39,2.3,1.2,1.1,0.51,1.4,0.2,1.2,0.13,0.8,0.4,0.5,0.43,0.1,0.9,1.5,2019-01-30,209,9
8,4,0.48,-0.09,1.5,0.2,0.5,0.5,0,0.2,0,0.1,0,0.1,1.5,0.5,1,0.33,0.42,0.5,0.2,0.2,0.5,1,0.2,0.8,0.25,0.2,0.2,0,1,0,0,0.2,2019-01-30,210,9
8,8.8,0.57,0.27,2.5,0.6,1,0.62,0.9,0.6,0,1,0.4,0.6,3.2,0.9,2.4,0.27,0.33,1.1,0.5,0.6,0.44,2.1,0.4,1.8,0.18,1,0.4,0.6,0.38,0.1,0.9,0.8,2019-01-30,211,9
12,6.7,0.15,0.03,0.8,0.4,0.9,0.45,0.1,0.4,0,1,0,1,1.6,0.2,1.3,0.16,0.18,0.8,0.2,0.7,0.2,0.8,0.1,0.7,0.11,0.3,0.2,0.1,0.75,0,0.2,0.2,2019-01-30,212,9
16,18.9,0.95,0.3,6.7,0.6,1.4,0.43,0.5,1.1,0.3,4.4,1.2,3.2,5.2,2.5,2.7,0.48,0.49,4.7,2.4,2.2,0.52,0.5,0.1,0.4,0.13,2.5,1.6,0.9,0.65,0.4,2.1,2.5,2019-01-30,213,9
16,14.4,0.65,0.3,4.4,0.3,0.9,0.33,0.3,0.4,0.1,3.9,1,2.9,5.2,1.9,3.3,0.36,0.39,3.8,1.6,2.2,0.41,1.4,0.3,1.1,0.23,0.6,0.4,0.2,0.6,0,0.8,2.2,2019-01-30,214,9
1,3,0.67,0.67,0,0,0,-,0,0,0,2,0,2,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,1,1,2019-01-30,215,9
5,7,1.04,0.57,1,0.2,0,-,0,0.2,1,1.4,0.2,1.2,1,0,1,0,0,1,0,1,0,0,0,0,-,1.6,1,0.6,0.63,0,0.8,1.2,2019-01-30,216,9
18,15.8,0.76,0.3,4.9,0.5,0.8,0.6,0.3,0.4,0.5,3,0.8,2.2,3.9,2.2,1.7,0.56,0.56,3.9,2.2,1.7,0.57,0.1,0,0.1,0,0.6,0.4,0.2,0.73,0.2,0.6,1.4,2019-01-30,37,10
8,9.2,0.65,0.09,3.6,0.2,0.2,1,0.2,0.1,0,0.4,0,0.4,2.8,1.1,1.6,0.41,0.61,0,0,0,-,2.8,1.1,1.6,0.41,0.2,0.2,0,1,0,0.1,0.9,2019-01-30,38,10
18,34,0.88,0.48,10.3,4.3,1.5,2.85,2.4,1.3,0.1,4.4,1.3,3.2,9.3,4.1,5.2,0.44,0.51,5.9,2.7,3.2,0.45,3.4,1.4,2,0.41,0.9,0.8,0.1,0.88,0.2,1.5,2.1,2019-01-30,39,10
14,11.7,0.47,0.19,3.3,0.5,0.4,1.4,0.4,0.1,0.1,0.9,0.1,0.8,3.4,1.1,2.3,0.33,0.48,0.1,0.1,0,1,3.3,1,2.3,0.3,0,0,0,-,0,0,0.8,2019-01-30,40,10
18,28.7,0.71,0.17,11.3,2.7,3.6,0.74,1.7,1.9,0.1,2.9,0.4,2.6,11.1,4.4,6.7,0.4,0.44,8.1,3.6,4.4,0.45,3.1,0.8,2.2,0.27,2.9,1.6,1.3,0.54,0.5,2.6,2.2,2019-01-30,41,10
18,14.1,0.53,0.23,3.2,0.4,0.7,0.54,0.6,0.3,0.3,1.7,0.3,1.4,3.4,0.9,2.5,0.27,0.4,0.6,0.1,0.5,0.18,2.8,0.8,2,0.29,0.4,0.4,0,1,0,0.3,1.4,2019-01-30,42,10
11,10.3,0.78,0.15,3.1,0.3,0.8,0.33,0.3,0.7,0.1,1.4,0.5,0.8,1.8,0.8,1,0.45,0.63,0.5,0.2,0.3,0.4,1.4,0.6,0.7,0.47,0.9,0.8,0.1,0.9,0,0.5,0.7,2019-01-30,43,10
4,8,0.85,0.28,3.5,0.2,0.2,1,0.5,0.2,0,0.8,0.5,0.2,3,1.2,1.8,0.42,0.54,0.8,0.5,0.2,0.67,2.2,0.8,1.5,0.33,0.5,0.2,0.2,0.5,0,0,0.2,2019-01-30,220,10
16,9,0.49,0.2,2.8,0.2,0.3,0.8,0.4,0.1,0.1,1.1,0,1.1,2.9,0.9,2,0.32,0.47,0.2,0.1,0.1,0.33,2.8,0.9,1.9,0.32,0.1,0,0.1,0,0,0.1,0.6,2019-01-30,45,10
