GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
21,17,0.52,0.25,3.9,1.1,1.7,0.64,0.6,0.6,0.3,3,0.5,2.5,4,1.6,2.5,0.39,0.44,2.4,1.1,1.2,0.48,1.7,0.4,1.2,0.26,0.5,0.3,0.2,0.55,0,0.5,1.1,2019-01-30,136,12
9,3.9,0.43,0.49,0.2,0.3,0.2,1.5,0,0.2,0.3,0.9,0.1,0.8,0.8,0.1,0.7,0.14,0.14,0.4,0.1,0.3,0.25,0.3,0,0.3,0,0,0,0,-,0,0,0.3,2019-01-30,137,12
19,21.1,0.42,0.12,4.2,1,1.2,0.83,0.4,0.7,0.2,1.7,0.2,1.5,3.4,1.3,2.1,0.39,0.53,0.7,0.4,0.4,0.5,2.6,0.9,1.7,0.36,0.8,0.6,0.2,0.73,0,0.6,1.4,2019-01-30,138,12
1,2,0.5,0.5,0,0,0,-,0,0,0,1,0,1,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,2019-01-30,139,12
18,4.6,0.27,0.13,0.4,0.2,0.5,0.44,0.1,0.1,0,0.8,0.2,0.6,0.5,0.2,0.3,0.33,0.33,0.5,0.2,0.3,0.33,0,0,0,-,0.3,0.1,0.2,0.4,0,0.2,0.8,2019-01-30,140,12
15,4.7,0.37,0.21,0.5,0,0.1,0,0.1,0.1,0,0.8,0.3,0.5,0.4,0.3,0.1,0.67,0.67,0.4,0.3,0.1,0.67,0,0,0,-,0,0,0,-,0,0,0.9,2019-01-30,141,12
16,4.4,0.29,0.19,0.6,0.4,0.2,2,0,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.4,0.36,0.41,0.2,0.2,0.1,0.75,0.4,0.1,0.4,0.14,0.1,0,0.1,0,0.1,0.1,0.6,2019-01-30,142,12
7,3.4,1.91,0.58,1.7,0.3,0.4,0.67,0.4,0,0,0.9,0.6,0.3,1.3,0.4,0.9,0.33,0.33,1.1,0.4,0.7,0.38,0.1,0,0.1,0,0.9,0.9,0,1,0,0.3,0.7,2019-01-30,158,1
19,26.5,1.38,0.61,9.7,5.5,1.6,3.39,1.6,0.9,0.2,3.7,1.1,2.7,6.4,3.2,3.3,0.49,0.54,4.7,2.5,2.2,0.54,1.7,0.6,1.1,0.36,3.5,2.8,0.7,0.8,0.4,3.3,1.1,2019-01-30,159,1
7,2.3,0.71,0.44,0.4,0.1,0.1,1,0,0,0,0.7,0.3,0.4,0.6,0.1,0.4,0.25,0.25,0.4,0.1,0.3,0.33,0.1,0,0.1,0,0.3,0.1,0.1,0.5,0,0.1,0,2019-01-30,160,1
3,1.7,-0.36,0,0,0,0,-,0,0,0,0,0,0,0.7,0,0.7,0,0,0.7,0,0.7,0,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,161,1
19,19.8,1.18,0.35,9.7,2.4,1.9,1.24,0.6,1.3,0.2,3.8,0.6,3.2,6.8,3.9,2.8,0.58,0.61,5.5,3.5,2,0.64,1.3,0.4,0.8,0.33,1.8,1.4,0.4,0.77,0.2,1.4,1.1,2019-01-30,162,1
19,13.3,0.72,0.34,3.3,1.6,0.7,2.38,0.3,0.4,0,1.7,0.3,1.4,2.7,1.1,1.6,0.4,0.51,1.4,0.5,0.8,0.39,1.4,0.6,0.8,0.42,0.6,0.5,0.2,0.75,0.2,0.7,1.4,2019-01-30,163,1
19,12.5,1.16,0.34,5.9,1.1,1.5,0.72,0.7,0.4,0.2,2.7,0.6,2.1,4.4,2.2,2.2,0.5,0.54,3.5,1.8,1.7,0.52,0.9,0.4,0.5,0.41,1.5,1.1,0.4,0.75,0.2,1.4,1.9,2019-01-30,164,1
19,13.7,0.88,0.19,6.1,1.1,1.3,0.8,0.5,0.5,0.2,1.7,0.1,1.6,3.9,2.4,1.5,0.61,0.72,2.2,1.5,0.6,0.71,1.7,0.8,0.9,0.49,0.9,0.5,0.4,0.59,0.2,0.8,1.5,2019-01-30,165,1
19,28.3,1.42,0.25,18.9,1.1,1.3,0.88,0.6,0.6,0.2,4.9,0.8,4.1,12.1,6.6,5.5,0.54,0.66,6.2,3.7,2.5,0.6,5.9,2.8,3.1,0.48,3.6,2.9,0.6,0.82,0.5,3,1.2,2019-01-30,166,1
7,2.1,-0.1,0.07,0,0,0.1,0,0,0.1,0,0.4,0,0.4,0.4,0,0.4,0,0,0.1,0,0.1,0,0.3,0,0.3,0,0,0,0,-,0,0,0,2019-01-30,167,1
7,2.6,0.38,0.06,0.9,0,0.6,0,0.1,0.6,0,0.7,0.3,0.4,1,0.4,0.6,0.43,0.43,0.9,0.4,0.4,0.5,0.1,0,0.1,0,0,0,0,-,0,0.6,0.6,2019-01-30,168,1
15,3.3,1.01,0.1,1.1,0.2,0.4,0.5,0.2,0.2,0,0.3,0.1,0.2,0.5,0.2,0.3,0.43,0.5,0.1,0.1,0,1,0.3,0.1,0.3,0.2,0.9,0.6,0.3,0.64,0,0.3,0.4,2019-01-30,169,1
12,20.8,0.67,0.14,6.1,0.6,0.8,0.7,0.4,0.2,0.1,1.8,0.8,1,4.2,1.9,2.2,0.46,0.58,2,0.9,1.1,0.46,2.2,1,1.2,0.46,1.8,1.2,0.5,0.71,0.1,1.1,2.2,2019-01-30,170,1
13,8.9,1.04,0.5,2.5,0.7,0.4,1.8,0.4,0.2,0.2,2.1,0.7,1.4,2.1,0.8,1.2,0.41,0.43,1.7,0.8,0.9,0.45,0.4,0.1,0.3,0.2,1.3,0.8,0.5,0.59,0.1,0.7,1.6,2019-01-30,171,1
17,20.6,1.47,0.62,8.8,1.9,0.9,2.13,0.5,0.5,0.9,6.4,1.6,4.7,5.9,3.1,2.8,0.52,0.57,4.7,2.5,2.2,0.54,1.2,0.5,0.6,0.45,2.8,2.2,0.6,0.77,0.2,1.9,0.8,2019-01-30,172,1
8,3.1,1.04,1,0.4,0.4,0.5,0.75,0.4,0.4,0.1,1.6,0.8,0.9,1,0.1,0.9,0.13,0.13,0.5,0.1,0.4,0.25,0.5,0,0.5,0,0.2,0.1,0.1,0.5,0,0.2,0.1,2019-01-30,173,1
