Team_Name,Player_Name,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date
Edgewood College (WI) Eagles,Ben Seefeld,20,22.2,1.11,0.23,12.3,0.6,1,0.57,0.5,0.4,0.1,3.4,1.2,2.2,9.4,5.2,4.2,55.1%,58%,8,4.6,3.4,57.1%,1.3,0.6,0.8,42.3%,1.8,1.4,0.4,78.4%,0.4,1.6,1.6,2019-01-30
Edgewood College (WI) Eagles,Jaden Lechelt,7,2.4,0.53,0.59,0.4,0.3,0.1,2,0.1,0.1,0,0.6,0.3,0.3,1.1,0.1,1,12.5%,18.8%,0.1,0,0.1,0%,1,0.1,0.9,14.3%,0,0,0,-,0,0,0.3,2019-01-30
Edgewood College (WI) Eagles,Anthony Janega,4,0.5,1.55,0,0.5,0,0,-,0,0,0,0,0,0,0.2,0.2,0,100%,100%,0.2,0.2,0,100%,0,0,0,-,0,0,0,-,0,0,0,2019-01-30
Illinois Tech Scarlet Hawks,Anthony Mosley,16,33.4,1.30,0.38,16.9,4.6,3.1,1.48,1.6,1.8,1.1,3.9,0.7,3.2,12.2,6.1,6.1,50.3%,54.9%,9.2,5,4.2,54.4%,3,1.1,1.9,37.5%,4.8,3.5,1.2,73.7%,0.6,3.7,1.5,2019-01-30
Illinois Tech Scarlet Hawks,Ben Wagner,3,0.7,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0.3,2019-01-30
Illinois Tech Scarlet Hawks,Heath Sheridan,1,2,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-01-30
Illinois Tech Scarlet Hawks,Ahmad Muhammad,21,23.1,0.54,0.16,7.3,1.2,1,1.18,0.5,0.5,0.1,1.8,0.4,1.3,8,2.7,5.3,33.7%,40.5%,4.7,1.6,3,34.7%,3.4,1.1,2.3,32.4%,1.2,0.8,0.5,61.5%,0,1,1.8,2019-01-30
Illinois Tech Scarlet Hawks,Jake Bruns,19,17,0.44,0.15,4.6,1,0.8,1.19,0.3,0.2,0,1.3,0.4,0.9,4.8,1.6,3.2,34.1%,46.7%,1.3,0.4,0.8,33.3%,3.5,1.2,2.3,34.3%,0.3,0.2,0.1,60%,0.1,0.5,1.6,2019-01-30
Illinois Tech Scarlet Hawks,Jalen Lomax,6,2.7,0.82,0.25,0.8,0.2,0.3,0.50,0,0,0,0.8,0.2,0.7,0.7,0.3,0.3,50%,50%,0.7,0.3,0.3,50%,0,0,0,-,0.2,0.2,0,100%,0.2,0.2,0.5,2019-01-30
Illinois Tech Scarlet Hawks,Calvin Schmitz,21,10.5,0.22,0.10,1.5,0.3,0.6,0.46,0,0.2,0,1.1,0.3,0.8,2,0.6,1.4,31%,36.9%,0.9,0.4,0.5,44.4%,1.1,0.2,0.9,20.8%,0.1,0,0,50%,0,0.1,1,2019-01-30
