Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
2,2018-12-23,1,73.8,64.9,0.88,0.35,Average,29.3,24,53.3,0.45,0.5,0.17,0.13,0.07,0.42,1,15,5
2,2018-12-23,0,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0,1,16,5
2,2018-12-23,0.04,3.3,2.8,0.85,0.45,Average,1.2,0.6,1.8,0.33,0.41,0.15,0.31,0.05,0.44,1,17,5
1,2018-12-23,1,81.4,71.1,0.87,0.52,Good,31.5,24.8,56.4,0.44,0.51,0.2,0.14,0.1,0.4,10,1,6
2,2018-12-23,1,81.8,71.2,0.87,0.57,Good,32.2,24.8,57.1,0.44,0.5,0.18,0.14,0.09,0.4,1,1,6
1,2018-12-23,0.13,10.4,11.4,1.1,0.86,Excellent,2.9,3.7,6.6,0.56,0.62,0.18,0.23,0.21,0.53,10,9,6
1,2018-12-23,0.13,10.4,11.4,1.1,0.86,Excellent,2.9,3.7,6.6,0.56,0.62,0.18,0.23,0.21,0.53,2,9,6
2,2018-12-23,0.18,14.5,14.4,0.99,0.46,Average,5.4,5,10.4,0.48,0.53,0.15,0.18,0.13,0.46,2,9,6
2,2018-12-23,0.18,14.5,14.4,0.99,0.46,Average,5.4,5,10.4,0.48,0.53,0.15,0.18,0.13,0.46,1,9,6
1,2018-12-23,0.87,71,59.7,0.84,0.48,Average,28.6,21.2,49.8,0.43,0.49,0.2,0.12,0.08,0.38,10,10,6
2,2018-12-23,0.82,67.3,56.8,0.84,0.57,Good,26.8,19.8,46.7,0.43,0.49,0.19,0.13,0.08,0.39,1,10,6
1,2018-12-23,0.03,2.7,1,0.37,0.06,Poor,1.8,0.3,2.2,0.14,0.2,0.17,0.06,0.03,0.14,10,11,6
2,2018-12-23,0.05,4,4.4,1.1,0.04,Poor,1.7,1.7,3.4,0.5,0.6,0.12,0.04,0.02,0.46,1,11,6
1,2018-12-23,0.07,5,4.5,0.91,0.68,Very Good,2.1,1.8,3.9,0.47,0.51,0.15,0.08,0.06,0.42,10,12,6
2,2018-12-23,0.09,5.7,4.6,0.81,0.52,Good,2.6,1.8,4.4,0.4,0.47,0.18,0.07,0.05,0.37,1,12,6
1,2018-12-23,0.06,3.9,2.4,0.61,0.2,Below Average,1.8,1,2.8,0.35,0.37,0.24,0.06,0.04,0.29,10,13,6
2,2018-12-23,0.05,3,2.9,0.97,0.2,Below Average,1.2,1,2.2,0.45,0.5,0.1,0.15,0.1,0.46,1,13,6
1,2018-12-23,0.13,8.9,7.3,0.82,0.46,Average,3.9,2.9,6.8,0.43,0.47,0.18,0.08,0.07,0.38,10,14,6
2,2018-12-23,0.13,8.7,6.8,0.78,0.66,Very Good,3.7,2.5,6.2,0.4,0.46,0.2,0.09,0.04,0.36,1,14,6
1,2018-12-23,0.98,69.7,58,0.83,0.47,Average,28.3,20.6,48.9,0.42,0.48,0.2,0.12,0.08,0.38,10,44,6
1,2018-12-23,0.02,1.3,1.7,1.29,0.95,Excellent,0.3,0.5,0.8,0.64,0.86,0.29,0.12,0.12,0.47,10,45,6
1,2018-12-23,0.07,4.8,2.8,0.58,0.1,Poor,1.5,1,2.5,0.39,0.46,0.4,0.08,0.02,0.26,10,46,6
1,2018-12-23,0.21,17,15.4,0.91,0.55,Good,9.8,5.5,15.3,0.36,0.49,0.08,0.03,0.03,0.34,2,2,6
2,2018-12-23,0.23,19,17.8,0.94,0.36,Average,9.8,6.1,15.8,0.38,0.51,0.11,0.06,0.06,0.37,2,2,6
1,2018-12-23,0.08,6.7,6.8,1.01,0.33,Average,2.3,2.8,5.1,0.55,0.55,0.12,0.17,0.17,0.49,2,18,6
2,2018-12-23,0.06,5.2,5.5,1.04,0.65,Very Good,1.8,2.4,4.2,0.57,0.57,0.13,0.1,0.1,0.53,2,18,6
1,2018-12-23,0.1,8,7.2,0.89,0.53,Good,4,2.4,6.4,0.37,0.47,0.12,0.11,0.08,0.37,2,6,6
2,2018-12-23,0.05,4.3,3.8,0.89,0.48,Average,2.1,1.4,3.5,0.4,0.5,0.13,0.07,0.04,0.38,2,6,6
1,2018-12-23,0.08,6.8,6.2,0.9,0.68,Very Good,2.4,2.5,4.8,0.51,0.51,0.15,0.18,0.1,0.48,2,4,6
2,2018-12-23,0.09,7.5,5.6,0.75,0.77,Very Good,3,1.8,4.8,0.38,0.38,0.17,0.21,0.16,0.38,2,4,6
1,2018-12-23,0.13,10.2,7.1,0.7,0.37,Average,3.9,2.7,6.6,0.41,0.45,0.28,0.08,0.07,0.33,2,3,6
2,2018-12-23,0.14,11.5,10.2,0.89,0.18,Below Average,4.4,3.7,8.1,0.46,0.52,0.21,0.1,0.05,0.4,2,3,6
1,2018-12-23,0.06,4.5,4.7,1.03,0.48,Average,1.6,1.9,3.5,0.54,0.54,0.12,0.2,0.19,0.49,2,19,6
2,2018-12-23,0.05,4.4,4.8,1.09,0.37,Average,1.4,1.5,2.8,0.51,0.51,0.07,0.33,0.25,0.58,2,19,6
1,2018-12-23,0.06,4.5,3.2,0.72,0.41,Average,2.2,1,3.2,0.31,0.33,0.14,0.17,0.1,0.35,2,5,6
2,2018-12-23,0.05,4.4,2.3,0.53,0.92,Excellent,2.2,0.9,3.1,0.3,0.3,0.21,0.09,0.04,0.28,2,5,6
