team_name,format_name,category_name,element_name,format_id,category_id,element_id,team_id,uploaded_date,percentage_time,poss_per_game,points,ppp,rank,rating,fg_miss,fg_made,fga,fg,adjusted_fg,percent_turnover,percent_ft,percent_shooting_foul,percent_score
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,8,2019-01-09,0.98,71,61.4,0.86,0.59,Good                          ,29.9,21.4,51.2,0.42,0.47,0.16,0.14,0.08,0.4
Benedictine (IL) Eagles,Defensive           ,Overall Defense                                   ,Press Defense                                     ,2,1,17,6,2019-01-09,0.07,4.8,3.9,0.82,0.52,Good                          ,1.5,1.3,2.7,0.46,0.57,0.28,0.15,0.03,0.39
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Against Zone                                      ,1,10,45,8,2018-12-23,0.02,1.3,2.5,2,1,Excellent                     ,0.3,0.9,1.2,0.77,1.04,0,0.14,0.07,0.79
Marian University (WI) Sabres,Offensive           ,Overall Offense                                   ,Transition                                        ,1,10,9,10,2018-12-23,0.2,16.8,16.7,0.99,0.59,Good                          ,7.2,6.9,14.1,0.49,0.54,0.13,0.06,0.06,0.45
Concordia (WI) Falcons,Defensive           ,Overall Defense                                   ,Out of Bounds (End)                               ,2,1,12,3,2018-12-23,0.07,4.6,3.3,0.7,0.8,Very Good                     ,2.1,1.3,3.4,0.37,0.48,0.24,0.03,0,0.27
Aurora University,Offensive           ,Overall Offense                                   ,Short Shot Clock <4 Seconds                       ,1,10,11,7,2019-01-09,0.04,3.8,3.6,0.94,0.92,Excellent                     ,1.9,1.3,3.2,0.4,0.49,0.09,0.08,0.06,0.4
Milwaukee School of Engineering,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,1,2019-01-09,1,83.4,81.6,0.98,0.93,Excellent                     ,30,29.3,59.3,0.49,0.56,0.17,0.15,0.09,0.46
Concordia (WI) Falcons,Defensive           ,Overall Defense                                   ,Out of Bounds (Side)                              ,2,1,13,3,2019-01-09,0.06,4,2.5,0.63,0.85,Excellent                     ,2.3,1,3.3,0.31,0.33,0.17,0.08,0.08,0.27
Illinois Tech Scarlet Hawks,Defensive           ,Overall Defense                                   ,Overall Half Court                                ,2,1,10,12,2018-12-23,0.83,62.4,47.7,0.76,0.91,Excellent                     ,29,17.2,46.2,0.37,0.42,0.16,0.12,0.07,0.36
Marian University (WI) Sabres,Offensive           ,Overall Offense                                   ,Against Zone                                      ,1,10,45,10,2019-01-09,0.06,4.2,3.7,0.89,0.49,Average                       ,2.2,1.4,3.5,0.39,0.5,0.11,0.04,0.04,0.37
Concordia (Chicago) Cougars,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,11,2018-12-23,0.06,4.8,3.5,0.72,0.28,Below Average                 ,2.4,1.4,3.7,0.37,0.4,0.15,0.09,0.09,0.34
Aurora University,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,7,2019-01-09,1,85.6,84.2,0.98,0.94,Excellent                     ,34.1,30.1,64.2,0.47,0.56,0.15,0.12,0.1,0.43
Concordia (Chicago) Cougars,Offensive           ,Overall Offense                                   ,After Time Outs                                   ,1,10,14,11,2019-01-09,0.12,9.2,7.2,0.78,0.33,Average                       ,3.8,2.7,6.5,0.41,0.45,0.19,0.12,0.1,0.38
Edgewood College (WI) Eagles,Defensive           ,Overall Defense                                   ,Press Defense                                     ,2,1,17,8,2019-01-09,0.01,0.9,0.8,0.92,0.29,Below Average                 ,0.2,0.1,0.3,0.25,0.25,0.17,0.5,0,0.58
Concordia (WI) Falcons,Defensive           ,Overall Defense                                   ,Short Shot Clock <4 Seconds                       ,2,1,11,3,2019-01-09,0.02,1.5,0.8,0.5,0.86,Excellent                     ,1.1,0.3,1.3,0.19,0.25,0.06,0.06,0.06,0.22
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Overall Half Court                                ,1,10,10,9,2019-01-09,0.75,65.3,49.5,0.76,0.14,Poor                          ,30.1,17.9,47.9,0.37,0.45,0.19,0.09,0.05,0.33
Lakeland (WI) Muskies,Defensive           ,Overall Defense                                   ,Transition                                        ,2,1,9,5,2018-12-23,0.18,15.7,15.5,0.99,0.47,Average                       ,5.8,5.7,11.5,0.49,0.54,0.14,0.14,0.1,0.48
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,6,2018-12-23,0.07,5,4.5,0.91,0.68,Very Good                     ,2.1,1.8,3.9,0.47,0.51,0.15,0.08,0.06,0.42
Lakeland (WI) Muskies,Defensive           ,Overall Defense                                   ,Man Defense                                       ,2,1,15,5,2019-01-09,1,74.1,65.8,0.89,0.29,Below Average                 ,29,24,53,0.45,0.5,0.17,0.14,0.07,0.42
Lakeland (WI) Muskies,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,5,2018-12-23,0.12,8.6,6,0.7,0.83,Excellent                     ,4,2.6,6.6,0.39,0.42,0.18,0.06,0.05,0.33
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Against Zone                                      ,1,10,45,9,2019-01-09,0.06,3.6,3.4,0.94,0.61,Good                          ,1.6,1.3,2.9,0.45,0.56,0.18,0.04,0.02,0.38
Concordia (WI) Falcons,Offensive           ,Overall Offense                                   ,Against Zone                                      ,1,10,45,3,2019-01-09,0.02,1.3,1.3,0.94,0.6,Good                          ,0.5,0.4,0.9,0.46,0.55,0.13,0.19,0,0.44
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,9,2018-12-23,0.07,4.7,2.6,0.56,0.06,Poor                          ,2.6,0.9,3.5,0.26,0.35,0.23,0.02,0.02,0.21
Lakeland (WI) Muskies,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,5,2018-12-23,0.07,4.8,4.9,1.02,0.86,Excellent                     ,2.4,1.7,4.1,0.41,0.52,0.07,0.1,0.1,0.41
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,8,2018-12-23,0.98,70.2,61.1,0.87,0.64,Good                          ,28.6,21.5,50.1,0.43,0.49,0.17,0.14,0.08,0.41
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Man Defense                                       ,2,1,15,9,2019-01-09,0.93,67.1,62.9,0.94,0.09,Poor                          ,25.2,22.6,47.9,0.47,0.53,0.17,0.15,0.1,0.44
Marian University (WI) Sabres,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,10,2019-01-09,1,84.2,69.8,0.83,0.3,Below Average                 ,37.6,26.3,63.9,0.41,0.47,0.16,0.1,0.07,0.38
Rockford Regents,Offensive           ,Overall Offense                                   ,After Time Outs                                   ,1,10,14,4,2019-01-09,0.11,8.6,8,0.93,0.78,Very Good                     ,4,3.1,7.1,0.43,0.5,0.13,0.08,0.04,0.41
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,9,2019-01-09,0.12,8.3,8.4,1.02,0.08,Poor                          ,2.4,2.9,5.2,0.55,0.61,0.2,0.18,0.15,0.52
Aurora University,Offensive           ,Overall Offense                                   ,Against Man                                       ,1,10,44,7,2018-12-23,0.95,64.8,60.6,0.94,0.87,Excellent                     ,26.6,21.8,48.4,0.45,0.53,0.15,0.12,0.1,0.42
Benedictine (IL) Eagles,Offensive           ,Overall Offense                                   ,Out of Bounds (Side)                              ,1,10,13,6,2018-12-23,0.06,3.9,2.4,0.61,0.2,Below Average                 ,1.8,1,2.8,0.35,0.37,0.24,0.06,0.04,0.29
Benedictine (IL) Eagles,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,6,2018-12-23,0.13,8.7,6.8,0.78,0.66,Very Good                     ,3.7,2.5,6.2,0.4,0.46,0.2,0.09,0.04,0.36
