,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Parker Joncus,"Ahmad Muhammad,Parker Joncus",282.033333333333,plusminus,Net performance Evaluation Metric,13.0
0,Parker Joncus,"Anthony Mosley,Parker Joncus",186.983333333333,plusminus,Net performance Evaluation Metric,25.0
0,Parker Joncus,"Max Hisatake,Parker Joncus",395.083333333334,plusminus,Net performance Evaluation Metric,34.0
0,Ricardo Whitehead,"Jake Digiorgio,Ricardo Whitehead",35.35,plusminus,Net performance Evaluation Metric,3.0
0,Ricardo Whitehead,"Kohl Linder,Ricardo Whitehead",7.85000000000001,plusminus,Net performance Evaluation Metric,3.0
0,Ricardo Whitehead,"Jake Bruns,Ricardo Whitehead",34.3,plusminus,Net performance Evaluation Metric,5.0
0,Ricardo Whitehead,"Otis Reale,Ricardo Whitehead",38.2,plusminus,Net performance Evaluation Metric,16.0
0,Ricardo Whitehead,"Milos Dugalic,Ricardo Whitehead",45.9333333333334,plusminus,Net performance Evaluation Metric,14.0
0,Kohl Linder,"Kohl Linder,Otis Reale",34.4666666666667,plusminus,Net performance Evaluation Metric,3.0
0,Kohl Linder,"Kohl Linder,Ricardo Whitehead",7.85000000000001,plusminus,Net performance Evaluation Metric,3.0
0,Kohl Linder,"Ahmad Muhammad,Kohl Linder",39.5833333333334,plusminus,Net performance Evaluation Metric,9.0
0,Kohl Linder,"Kohl Linder,Milos Dugalic",35.15,plusminus,Net performance Evaluation Metric,21.0
0,Kohl Linder,"Kohl Linder,Max Hisatake",21.2666666666667,plusminus,Net performance Evaluation Metric,7.0
0,Zach Parduhn,"Ahmad Muhammad,Zach Parduhn",11.1,plusminus,Net performance Evaluation Metric,-3.0
0,Zach Parduhn,"Ricardo Whitehead,Zach Parduhn",6.33333333333334,plusminus,Net performance Evaluation Metric,-2.0
0,Zach Parduhn,"Otis Reale,Zach Parduhn",0.583333333333334,plusminus,Net performance Evaluation Metric,0.0
0,Zach Parduhn,"Milos Dugalic,Zach Parduhn",15.8833333333333,plusminus,Net performance Evaluation Metric,-2.0
0,Zach Parduhn,"Kohl Linder,Zach Parduhn",5.48333333333333,plusminus,Net performance Evaluation Metric,-2.0
0,Anthony Mosley,"Anthony Mosley,Jake Digiorgio",280.95,three_point_percentage,average 3 point percentage,0.310924369747899
0,Anthony Mosley,"Anthony Mosley,Jake Bruns",65.65,three_point_percentage,average 3 point percentage,0.341463414634146
0,Anthony Mosley,"Anthony Mosley,Capriest Gardner",49.0166666666667,three_point_percentage,average 3 point percentage,0.3125
